Employee_ID,Name,Department,Age,Salary,Experience,Performance_Score
EMP0001,Priya,Operations,59.0,76934.0,,2.4
EMP0002,Arun,HR,49.0,89895.0,9.0,3.7
EMP0003,Vijay,,35.0,57307.0,19.0,3.3
EMP0004,Kavya,IT,28.0,79098.0,14.0,2.1
EMP0005,Kavya,Finance,41.0,85921.0,,4.5
EMP0006,Rahul,Marketing,59.0,30486.0,0.0,4.2
EMP0007,Priya,Operations,39.0,33335.0,19.0,3.6
EMP0008,Rohan,Operations,43.0,111900.0,6.0,4.4
EMP0009,Priya,Marketing,31.0,114112.0,3.0,4.5
EMP0010,Meera,,31.0,36130.0,5.0,
EMP0011,Karthik,IT,44.0,112508.0,0.0,4.3
EMP0012,Arun,HR,56.0,85566.0,4.0,3.8
EMP0013,Arun,Operations,60.0,91703.0,0.0,3.7
EMP0014,Priya,Finance,44.0,52192.0,,3.5
EMP0015,Kavya,HR,23.0,26062.0,1.0,4.0
EMP0016,Kavya,HR,42.0,109076.0,9.0,1.6
EMP0017,Rohan,HR,22.0,114780.0,4.0,4.5
EMP0018,Meera,,44.0,46545.0,9.0,4.5
EMP0019,Arun,IT,50.0,46689.0,0.0,1.1
EMP0020,Rohan,HR,58.0,36174.0,5.0,4.3
EMP0021,Kavya,Sales,22.0,,12.0,1.5
EMP0022,Rohan,Marketing,41.0,34348.0,14.0,2.3
EMP0023,Karthik,,53.0,48714.0,3.0,4.0
EMP0024,Kavya,Sales,32.0,63102.0,,
EMP0025,Divya,Sales,42.0,99460.0,19.0,4.3
EMP0026,Meera,Operations,45.0,114930.0,14.0,4.3
EMP0027,Vijay,Marketing,47.0,31801.0,,3.0
EMP0028,Arun,HR,48.0,97267.0,4.0,1.0
EMP0029,Rahul,Operations,36.0,73136.0,14.0,2.1
EMP0030,Karthik,Operations,35.0,48625.0,3.0,3.5
EMP0031,Sneha,Sales,23.0,107873.0,11.0,4.9
EMP0032,Vijay,Sales,57.0,97592.0,12.0,3.5
EMP0033,Rahul,Sales,27.0,102052.0,1.0,2.0
EMP0034,Kavya,HR,41.0,69261.0,,
EMP0035,Sneha,HR,29.0,26542.0,18.0,
EMP0036,Priya,Operations,59.0,46677.0,3.0,4.1
EMP0037,Priya,Operations,38.0,71732.0,3.0,1.4
EMP0038,Karthik,IT,24.0,75343.0,10.0,4.0
EMP0039,Priya,IT,45.0,64081.0,4.0,3.2
EMP0040,Sneha,Sales,,87856.0,19.0,4.9
EMP0041,Sneha,HR,29.0,118105.0,10.0,
EMP0042,Meera,HR,46.0,,9.0,3.5
EMP0043,Vijay,Operations,,44065.0,7.0,4.7
EMP0044,Arun,Marketing,40.0,108460.0,5.0,1.4
EMP0045,Divya,Sales,48.0,113092.0,5.0,4.7
EMP0046,Rohan,IT,27.0,79693.0,7.0,
EMP0047,Priya,Marketing,28.0,51962.0,14.0,
EMP0048,Karthik,HR,55.0,53295.0,13.0,2.2
EMP0049,Priya,IT,34.0,38807.0,10.0,3.8
EMP0050,Rohan,Sales,37.0,67348.0,,1.3
EMP0051,Vijay,HR,56.0,51432.0,,3.3
EMP0052,Meera,Sales,60.0,108285.0,7.0,2.4
EMP0053,Sneha,Operations,24.0,,17.0,3.5
EMP0054,Meera,Marketing,22.0,82854.0,0.0,1.2
EMP0055,Kavya,Marketing,26.0,65262.0,14.0,4.5
EMP0056,Priya,Marketing,24.0,62080.0,7.0,4.9
EMP0057,Arun,Finance,49.0,26324.0,10.0,4.9
EMP0058,Kavya,Sales,38.0,116267.0,11.0,4.0
EMP0059,Vijay,Marketing,46.0,60909.0,11.0,1.5
EMP0060,Priya,Operations,54.0,,3.0,4.0
EMP0061,Kavya,Marketing,30.0,44870.0,15.0,1.1
EMP0062,Priya,Sales,56.0,59578.0,3.0,1.1
EMP0063,Karthik,Marketing,34.0,97124.0,4.0,2.3
EMP0064,Vijay,Sales,51.0,51790.0,4.0,3.0
EMP0065,Divya,HR,35.0,50289.0,7.0,4.1
EMP0066,Sneha,Operations,28.0,80129.0,9.0,3.7
EMP0067,Rahul,Sales,34.0,118714.0,16.0,
EMP0068,Sneha,Sales,43.0,119246.0,8.0,2.1
EMP0069,Sneha,Finance,60.0,40485.0,18.0,5.0
EMP0070,Kavya,HR,41.0,69482.0,,2.7
EMP0071,Vijay,Operations,36.0,111188.0,7.0,2.8
EMP0072,Priya,Finance,38.0,,8.0,1.7
EMP0073,Meera,Marketing,44.0,111769.0,10.0,4.2
EMP0074,Rahul,Sales,46.0,34435.0,0.0,3.8
EMP0075,Rohan,Operations,45.0,,13.0,1.9
EMP0076,Kavya,HR,49.0,55355.0,4.0,1.3
EMP0077,Rahul,Finance,35.0,,20.0,3.7
EMP0078,Divya,Sales,,82799.0,13.0,3.6
EMP0079,Karthik,IT,45.0,38116.0,3.0,
EMP0080,Vijay,Operations,27.0,,0.0,4.8
EMP0081,Rohan,Finance,29.0,67344.0,18.0,1.6
EMP0082,Kavya,HR,44.0,67918.0,7.0,2.7
EMP0083,Sneha,Finance,21.0,77224.0,14.0,4.8
EMP0084,Arun,Finance,28.0,64298.0,20.0,2.7
EMP0085,Kavya,Finance,44.0,105219.0,14.0,3.6
EMP0086,Arun,Marketing,31.0,86629.0,8.0,2.6
EMP0087,Sneha,IT,37.0,91040.0,20.0,2.1
EMP0088,Karthik,HR,28.0,53016.0,8.0,4.9
EMP0089,Vijay,HR,55.0,48960.0,9.0,2.6
EMP0090,Priya,HR,55.0,58591.0,19.0,4.6
EMP0091,Kavya,Sales,53.0,107848.0,20.0,1.9
EMP0092,Meera,Operations,25.0,92641.0,8.0,
EMP0093,Sneha,HR,59.0,61395.0,2.0,1.1
EMP0094,Kavya,Operations,,47700.0,19.0,3.6
EMP0095,Divya,HR,27.0,59620.0,10.0,2.5
EMP0096,Karthik,IT,29.0,45559.0,5.0,4.5
EMP0097,Divya,Sales,,118045.0,1.0,2.9
EMP0098,Rahul,Sales,32.0,118396.0,6.0,4.9
EMP0099,Vijay,Finance,54.0,86642.0,17.0,1.7
EMP0100,Rahul,Marketing,53.0,101539.0,1.0,
EMP0101,Kavya,Sales,43.0,46732.0,,4.1
EMP0102,Rohan,Sales,44.0,116362.0,10.0,
EMP0103,Rohan,,57.0,55354.0,11.0,4.4
EMP0104,Vijay,HR,55.0,38843.0,18.0,4.0
EMP0105,Meera,Sales,60.0,96726.0,6.0,3.5
EMP0106,Karthik,Sales,42.0,42640.0,19.0,1.5
EMP0107,Meera,Marketing,47.0,77528.0,5.0,1.1
EMP0108,Karthik,Operations,55.0,63413.0,20.0,4.7
EMP0109,Sneha,IT,21.0,77638.0,0.0,3.5
EMP0110,Kavya,Marketing,55.0,,16.0,4.2
EMP0111,Rahul,Sales,57.0,93866.0,10.0,2.9
EMP0112,Rohan,Sales,34.0,44087.0,17.0,1.5
EMP0113,Divya,IT,23.0,66430.0,20.0,1.5
EMP0114,Priya,Finance,21.0,49504.0,16.0,3.7
EMP0115,Arun,Finance,25.0,32114.0,6.0,2.7
EMP0116,Priya,Sales,46.0,103859.0,16.0,1.8
EMP0117,Rahul,Sales,34.0,35975.0,19.0,3.0
EMP0118,Rahul,Marketing,59.0,36023.0,8.0,1.3
EMP0119,Karthik,Operations,47.0,46447.0,16.0,3.3
EMP0120,Meera,Operations,29.0,115469.0,19.0,2.1
EMP0121,Priya,Marketing,,48959.0,7.0,4.2
EMP0122,Karthik,Marketing,35.0,91203.0,16.0,
EMP0123,Karthik,HR,46.0,54703.0,6.0,
EMP0124,Meera,Sales,33.0,34337.0,0.0,1.0
EMP0125,Divya,HR,52.0,71427.0,,1.3
EMP0126,Rohan,Finance,59.0,86529.0,18.0,2.6
EMP0127,Vijay,Sales,52.0,,18.0,2.9
EMP0128,Rohan,Sales,24.0,56921.0,16.0,3.4
EMP0129,Arun,IT,50.0,58307.0,12.0,2.2
EMP0130,Priya,Sales,57.0,52355.0,,3.8
EMP0131,Rohan,Finance,43.0,29835.0,7.0,4.4
EMP0132,Vijay,Operations,,45159.0,18.0,4.1
EMP0133,Sneha,Operations,35.0,72605.0,17.0,1.2
EMP0134,Priya,Sales,49.0,63088.0,0.0,2.9
EMP0135,Vijay,Operations,56.0,103752.0,13.0,1.4
EMP0136,Karthik,HR,33.0,80284.0,18.0,2.0
EMP0137,Rahul,Sales,52.0,82043.0,14.0,4.9
EMP0138,Divya,HR,,60547.0,17.0,1.6
EMP0139,Arun,Marketing,42.0,107844.0,1.0,3.0
EMP0140,Vijay,Marketing,48.0,52532.0,16.0,3.5
EMP0141,Rohan,IT,22.0,59349.0,17.0,3.8
EMP0142,Rahul,Sales,26.0,70445.0,5.0,3.2
EMP0143,Rohan,Marketing,48.0,30713.0,18.0,1.0
EMP0144,Priya,Marketing,48.0,81178.0,3.0,2.3
EMP0145,Vijay,Operations,40.0,74407.0,0.0,3.1
EMP0146,Rohan,IT,50.0,,7.0,
EMP0147,Meera,IT,31.0,75990.0,6.0,2.4
EMP0148,Kavya,Operations,48.0,100672.0,2.0,1.1
EMP0149,Rahul,Sales,45.0,90545.0,9.0,1.3
EMP0150,Sneha,HR,59.0,,9.0,2.6
EMP0151,Rahul,Sales,53.0,83141.0,18.0,1.5
EMP0152,Rohan,HR,21.0,48793.0,13.0,3.3
EMP0153,Rohan,IT,47.0,81570.0,1.0,3.8
EMP0154,Arun,Finance,33.0,62892.0,0.0,4.2
EMP0155,Meera,,23.0,26015.0,17.0,1.8
EMP0156,Sneha,Finance,59.0,86813.0,6.0,1.7
EMP0157,Divya,HR,26.0,52712.0,7.0,1.4
EMP0158,Arun,Sales,28.0,,0.0,
EMP0159,Priya,Finance,47.0,87292.0,2.0,3.8
EMP0160,Sneha,Finance,29.0,48833.0,7.0,1.1
EMP0161,Vijay,Sales,57.0,29158.0,14.0,
EMP0162,,Finance,53.0,87680.0,4.0,1.2
EMP0163,Arun,Sales,44.0,45309.0,2.0,3.2
EMP0164,Kavya,Finance,35.0,31970.0,18.0,
EMP0165,Meera,IT,52.0,97474.0,0.0,4.5
EMP0166,Priya,Sales,52.0,111704.0,14.0,3.9
EMP0167,Priya,IT,44.0,71540.0,7.0,4.2
EMP0168,Divya,Operations,32.0,45384.0,1.0,2.4
EMP0169,Priya,Marketing,59.0,43017.0,2.0,4.3
EMP0170,Rohan,IT,22.0,100880.0,13.0,1.3
EMP0171,,,23.0,33702.0,13.0,4.6
EMP0172,Rahul,HR,57.0,25384.0,,3.2
EMP0173,Divya,Operations,37.0,25404.0,15.0,4.3
EMP0174,Rohan,IT,22.0,65943.0,3.0,2.8
EMP0175,Rahul,Operations,22.0,72926.0,19.0,3.6
EMP0176,Vijay,IT,48.0,54189.0,4.0,3.1
EMP0177,Rohan,IT,,37763.0,20.0,3.9
EMP0178,Meera,HR,57.0,43384.0,13.0,1.3
EMP0179,Karthik,HR,52.0,85100.0,15.0,1.2
EMP0180,Kavya,IT,53.0,,17.0,2.0
EMP0181,Rohan,Marketing,21.0,105642.0,6.0,1.6
EMP0182,Kavya,HR,39.0,75612.0,9.0,4.5
EMP0183,Vijay,HR,22.0,,6.0,1.9
