First Name,Gender,Salary,Bonus %,Senior,Team
Robert,Female,99886,7.242,True,IT
Maria,Female,107955,14.14,False,Engineering
Barbara,Male,129478,2.953,False,Client Services
Anthony,Male,86606,3.387,True,Finance
Nancy,Female,113148,4.233,False,Operations
Maria,Female,114479,11.575,False,HR
Nancy,Female,82065,13.528,False,IT
Linda,Male,119065,8.556,False,Legal
Patricia,,93984,14.816,False,Marketing
William,Male,58986,12.062,True,Engineering
Robert,Male,97256,1.89,True,IT
Betty,Male,143018,2.674,False,Client Services
Susan,Male,132054,2.552,False,
Lisa,Male,125356,4.49,True,Sales
Christopher,Female,109044,5.139,True,HR
Lisa,Female,63047,12.304,False,Legal
Anthony,Male,137787,5.936,True,Operations
Larry,Male,79766,3.356,False,IT
Charles,Female,97733,10.748,True,Marketing
Charles,Female,135084,5.831,True,Client Services
Ashley,Female,115467,2.132,False,Marketing
Lisa,Female,125623,12.177,True,HR
Jerry,Male,140742,4.171,False,Operations
Robert,Female,46802,5.775,True,Finance
Maria,Male,122371,4.652,True,Engineering
Patricia,Male,60151,12.853,False,IT
Lisa,Male,50539,13.58,False,Client Services
Anthony,Male,66357,8.682,False,Client Services
Douglas,Female,103871,10.095,True,Client Services
Barbara,Male,62429,4.416,False,HR
Thomas,Male,50600,3.733,True,Client Services
Charles,Female,88484,4.914,False,Client Services
Charles,Female,99240,2.055,True,Engineering
Maria,Female,77745,14.106,False,Client Services
Joseph,Female,101958,8.257,False,Marketing
Betty,Female,64190,6.877,False,Legal
Robert,Male,47368,1.993,False,Client Services
Thomas,,94726,14.746,False,HR
Joseph,Female,64508,4.802,False,Engineering
Lisa,Female,84734,2.937,False,Finance
Charles,Female,73251,11.417,False,Engineering
Patricia,Female,139841,3.19,False,HR
Daniel,,98222,10.2,True,HR
Ashley,Female,117789,1.202,False,Engineering
Lisa,Male,80247,12.297,False,Marketing
Ashley,Female,85158,1.214,True,Marketing
Karen,Female,139704,13.141,False,Sales
Douglas,Male,114449,3.894,True,
Matthew,Male,133668,12.828,False,Finance
Ashley,Male,56338,13.285,False,Legal
Michael,Male,92295,9.063,True,Sales
Sandra,Male,81208,10.518,True,Legal
Charles,,45728,5.481,True,Client Services
Patricia,Male,80270,14.395,True,Sales
Daniel,Male,132508,11.533,True,Legal
Ashley,Male,68714,13.428,True,Finance
Ashley,Female,46542,6.965,False,Legal
