Order_ID,Customer_Name,City,Order_Date,Delivery_Date,Order_Value,Status
ORD1001,Meera Nair,Delhi,2026-07-29 15:21:50,,842,Processing
ORD1002,Vijay Nair,Madurai,2025-09-02 00:03:08,2025-09-02 08:03:08,4500,Delivered
ORD1003,Priya Kumar,Chennai,2025-06-04 02:38:12,2025-06-05 18:38:12,1628,Delivered
ORD1004,Divya Singh,Madurai,2026-02-19 05:22:01,2026-02-20 23:22:01,406,Delivered
ORD1005,Divya Iyer,Chennai,2025-11-06 10:37:10,2025-11-08 03:37:10,2580,Delivered
ORD1006,Rohan Iyer,Delhi,2026-07-12 04:23:38,2026-07-12 10:23:38,591,Delivered
ORD1007,Rahul Singh,Mumbai,2025-11-01 10:04:58,2025-11-03 14:04:58,2031,Delivered
ORD1008,Priya Nair,Pune,2025-12-05 02:05:11,,2796,Cancelled
ORD1009,Meera Kumar,Hyderabad,2025-10-05 13:30:28,2025-10-08 05:30:28,3970,Delivered
ORD1010,Divya Gupta,Delhi,2026-01-02 02:48:03,2026-01-04 13:48:03,4827,Delivered
ORD1011,Karthik Singh,Chennai,2025-04-22 10:35:19,2025-04-24 18:35:19,1885,Delivered
ORD1012,Arun Patel,Chennai,2025-09-03 22:41:27,,3885,Pending
ORD1013,Rohan Reddy,Chennai,2026-05-26 04:48:02,2026-05-29 02:48:02,2795,Delivered
ORD1014,Arun Gupta,Delhi,2025-09-04 12:54:45,2025-09-05 21:54:45,168,Delivered
ORD1015,Vijay Reddy,Bengaluru,2026-04-20 01:34:44,2026-04-22 06:34:44,1274,Delivered
ORD1016,Divya Nair,Mumbai,2025-02-27 15:45:05,2025-02-28 13:45:05,4135,Delivered
ORD1017,Vijay Patel,Bengaluru,2025-06-11 11:56:07,2025-06-12 08:56:07,2804,Delivered
ORD1018,Rohan Gupta,Hyderabad,2025-08-03 15:08:27,2025-08-06 13:08:27,2230,Delivered
ORD1019,Arun Patel,Delhi,2025-02-22 07:56:13,2025-02-25 05:56:13,1697,Delivered
ORD1020,Rahul Sharma,Chennai,2026-04-04 00:51:49,,1011,Pending
ORD1021,Divya Gupta,Mumbai,2025-02-08 17:06:09,2025-02-11 07:06:09,304,Delivered
ORD1022,Rohan Sharma,Mumbai,2026-05-10 14:46:23,2026-05-13 04:46:23,3644,Delivered
ORD1023,Kavya Iyer,Coimbatore,2026-01-25 13:23:07,2026-01-26 13:23:07,1054,Delivered
ORD1024,Sneha Singh,Hyderabad,2026-07-28 03:14:28,,1419,Processing
ORD1025,Rahul Nair,Pune,2026-02-07 23:26:24,2026-02-08 08:26:24,554,Delivered
ORD1026,Rahul Iyer,Pune,2026-01-02 05:27:39,,993,Cancelled
ORD1027,Priya Reddy,Mumbai,2025-04-24 05:57:13,2025-04-25 12:57:13,1932,Delivered
ORD1028,Rahul Singh,Delhi,2026-03-30 22:13:41,2026-04-01 14:13:41,1714,Delivered
ORD1029,Sneha Nair,Chennai,2025-12-18 06:26:04,2025-12-19 18:26:04,1334,Delivered
ORD1030,Priya Nair,Chennai,2026-05-16 14:00:11,,896,Processing
ORD1031,Arun Gupta,Mumbai,2026-01-05 17:11:52,2026-01-05 23:11:52,1875,Delivered
ORD1032,Priya Sharma,Bengaluru,2026-05-12 01:34:40,,3338,Cancelled
ORD1033,Sneha Patel,Hyderabad,2026-03-31 19:58:18,,420,Processing
ORD1034,Priya Sharma,Chennai,2025-05-04 04:14:50,2025-05-04 10:14:50,4106,Delivered
ORD1035,Meera Reddy,Mumbai,2026-04-05 02:57:02,2026-04-07 05:57:02,321,Delivered
ORD1036,Divya Gupta,Chennai,2026-06-26 13:49:15,2026-06-29 03:49:15,423,Delivered
ORD1037,Priya Gupta,Pune,2025-09-06 19:49:15,2025-09-09 04:49:15,2456,Delivered
ORD1038,Rahul Nair,Mumbai,2025-12-14 07:37:51,,1308,Cancelled
ORD1039,Karthik Iyer,Hyderabad,2025-05-27 09:30:37,,1856,Processing
ORD1040,Divya Iyer,Mumbai,2025-07-15 03:51:10,2025-07-16 05:51:10,1921,Delivered
ORD1041,Karthik Singh,Coimbatore,2026-03-24 22:33:33,2026-03-27 01:33:33,571,Delivered
ORD1042,Sneha Reddy,Mumbai,2026-01-06 22:30:03,,1359,Pending
ORD1043,Karthik Reddy,Mumbai,2025-01-29 02:33:08,2025-01-30 22:33:08,4825,Delivered
ORD1044,Karthik Kumar,Delhi,2026-02-24 04:24:38,,1040,Cancelled
ORD1045,Arun Kumar,Pune,2025-05-07 20:10:14,2025-05-10 18:10:14,4967,Delivered
ORD1046,Vijay Reddy,Hyderabad,2026-07-20 23:28:03,2026-07-22 01:28:03,3417,Delivered
